id	x	y
0	-58.98503306360705	-2.616336341957091
1	-56.29207597676705	-6.4613469600413165
2	-37.7264133907408	-17.900660323596185
3	73.72328881648221	-2.399429981141502
4	-46.33931324775142	-2.77277205509836
5	39.434136490103036	-33.96698484339232
6	-31.02643094665248	-12.057156039744696
7	18.359788957277306	-25.18979004779056
8	-54.205033497383056	20.500475580819607
9	48.342282065269316	12.69809163820327
10	-57.0453627212972	-19.94234594879502
11	69.20649122778009	14.123015062740189
12	-69.5495694017778	-11.924134378263064
13	104.91283872557487	32.96142072600805
14	-64.30197419620727	-4.570849502675254
15	24.312653137424697	106.29212770379088
16	-58.770420879921424	-22.4755820417449
17	15.07640743435557	116.14328451876058
18	114.72573542744321	-89.18713109290394
19	26.14800504039533	-51.25389567317845
